,Class,Publication,h5.index,h5.median
1,Agronomy Crop Science,Plant and Soil,55,75
2,Agronomy Crop Science,Theoretical and Applied Genetics,52,62
3,Agronomy Crop Science,Plant Biotechnology Journal,45,71
4,Agronomy Crop Science,Agricultural Water Management,45,54
5,Agronomy Crop Science,Field Crops Research,42,56
6,Agronomy Crop Science,Soil and Tillage Research,41,53
7,Agronomy Crop Science,Computers and Electronics in Agriculture,40,53
8,Agronomy Crop Science,Industrial Crops and Products,40,51
9,Agronomy Crop Science,Agronomy for Sustainable Development,38,59
10,Agronomy Crop Science,Scientia Horticulturae,38,48
11,Agronomy Crop Science,Crop Science,37,48
12,Agronomy Crop Science,Agronomy Journal,35,50
13,Agronomy Crop Science,European Journal of Agronomy,34,48
14,Agronomy Crop Science,Functional Plant Biology,33,51
15,Agronomy Crop Science,Molecular Breeding,33,50
16,Agronomy Crop Science,Plant Cell Reports,33,45
17,Agronomy Crop Science,Phytopathology,33,42
18,Agronomy Crop Science,Journal of Cereal Science,32,42
19,Agronomy Crop Science,"Plant Cell, Tissue and Organ Culture (PCTOC)",30,40
20,Agronomy Crop Science,Plant Disease,30,40
21,Animal Behavior,Hormones and Behavior,47,65
22,Animal Behavior,Animal Behaviour,46,62
23,Animal Behavior,Behavioral Ecology,36,42
24,Animal Behavior,Animal Cognition,34,43
25,Animal Behavior,Behavioral Ecology and Sociobiology,33,53
26,Animal Behavior,Applied Animal Behaviour Science,28,36
27,Animal Behavior,Behavioural Processes,27,37
28,Animal Behavior,Ethology,22,30
29,Animal Behavior,Journal of Experimental Psychology: Animal Behavior Processes,21,32
30,Animal Behavior,Behaviour,21,26
31,Animal Behavior,Journal of Comparative Psychology,20,31
32,Animal Behavior,Learning & Behavior,19,26
33,Animal Behavior,Journal of the Experimental Analysis of Behavior,18,28
34,Animal Behavior,Insectes Sociaux,17,20
35,Animal Behavior,Journal of Veterinary Behavior: Clinical Applications and Research,15,20
36,Animal Behavior,Journal of Ethology,13,20
37,Animal Behavior,Journal of Insect Behavior,12,13
38,Animal Behavior,Ardea,11,16
39,Animal Behavior,Folia Primatologica,11,14
40,Animal Behavior,Journal of Applied Animal Welfare Science,11,13
41,Animal Husbandry,Journal of Dairy Science,56,70
42,Animal Husbandry,Journal of Animal Science,49,62
43,Animal Husbandry,Meat Science,48,61
44,Animal Husbandry,Theriogenology,37,44
45,Animal Husbandry,Poultry Science,35,42
46,Animal Husbandry,Livestock Science,33,49
47,Animal Husbandry,Animal,32,44
48,Animal Husbandry,Animal Feed Science and Technology,31,40
49,Animal Husbandry,Animal Reproduction Science,30,38
50,Animal Husbandry,Genetics Selection Evolution,29,44
51,Animal Husbandry,Applied Animal Behaviour Science,28,36
52,Animal Husbandry,Reproduction in Domestic Animals,28,33
53,Animal Husbandry,"Reproduction, Fertility and Development",26,34
54,Animal Husbandry,Small Ruminant Research,23,30
55,Animal Husbandry,Animal Production Science,22,30
56,Animal Husbandry,Tropical Animal Health and Production,22,28
57,Animal Husbandry,Domestic Animal Endocrinology,21,28
58,Animal Husbandry,Journal of Reproduction and Development,20,28
59,Animal Husbandry,Veterinary Clinics of North America: Food Animal Practice,20,26
60,Animal Husbandry,The Journal of Applied Poultry Research,19,23
61,Atmospheric Sciences,Atmospheric Chemistry and Physics,89,120
62,Atmospheric Sciences,Journal of Climate,74,111
63,Atmospheric Sciences,Atmospheric Environment,67,90
64,Atmospheric Sciences,Climatic Change,63,94
65,Atmospheric Sciences,Climate Dynamics,55,76
66,Atmospheric Sciences,Bulletin of the American Meteorological Society,52,84
67,Atmospheric Sciences,Environmental Research Letters,51,72
68,Atmospheric Sciences,International Journal of Climatology,48,63
69,Atmospheric Sciences,Agricultural and Forest Meteorology,48,58
70,Atmospheric Sciences,Monthly Weather Review,46,71
71,Atmospheric Sciences,Quarterly Journal of the Royal Meteorological Society,42,54
72,Atmospheric Sciences,Global and Planetary Change,41,55
73,Atmospheric Sciences,Journal of the Atmospheric Sciences,41,49
74,Atmospheric Sciences,Atmospheric Measurement Techniques,39,55
75,Atmospheric Sciences,Atmospheric Research,39,51
76,Atmospheric Sciences,Journal of Atmospheric and Oceanic Technology,38,54
77,Atmospheric Sciences,Journal of Hydrometeorology,37,46
78,Atmospheric Sciences,Journal of Applied Meteorology and Climatology,35,48
79,Atmospheric Sciences,Tellus B,34,55
80,Atmospheric Sciences,The Cryosphere,34,48
81,Biochemistry,Nucleic Acids Research,164,281
82,Biochemistry,Molecular Cell,121,172
83,Biochemistry,Journal of Biological Chemistry,114,146
84,Biochemistry,The EMBO Journal,99,125
